Year,Month,Day,Hour,Dew Point,Temperature,Pressure,Relative Humidity,Wind Direction,Wind Speed,GHI
2012,10,27,10,14,29.8614582316,986.5441894531,40.3947353514,124.0521697998,1.1851261854,646
2012,10,27,11,13,31.9405297993,986.0229492188,32.4780709127,100.5564651489,0.9687649012,739
2012,10,27,12,13,32.6854507324,985.2533569336,30.7687478218,80.4868087769,0.9993453026,763
2012,10,27,13,13,32.7504450027,984.6784057617,30.3001059585,70.6087799072,1.103967309,722
2012,10,27,14,12,32.1886088669,984.3121948242,30.9676335311,65.9396057129,1.1859544516,608
2012,10,27,15,13,31.0072550303,984.0025024414,33.7327492717,64.4929199219,1.267224431,442
2012,10,27,16,12,29.3184087526,983.9176635742,36.6114907733,68.8641281128,1.4023966789,237
2012,10,27,17,15,26.3320467766,984.0283203125,50.3550927038,78.1884307861,1.5881932974,32
2012,10,27,18,14,25.2985397321,984.576171875,52.0994434675,88.809173584,1.8304698467,0
2012,10,27,19,14,24.4031713894,985.0106201172,53.0184684711,98.7269592285,2.0523788929,0
2012,10,27,20,13,23.501673683,985.5160522461,54.2452512159,110.801071167,2.2991514206,0
2012,10,27,21,13,22.6257239565,985.4118041992,55.7689407571,122.0140228271,2.5323011875,0
2012,10,27,22,13,21.8026234264,985.5968017578,57.877799504,130.9238739014,2.6721901894,0
2012,10,27,23,13,21.0399773105,985.4599609375,60.2094178395,137.388671875,2.721987009,0
2012,10,28,0,12,20.3511714749,985.0513916016,62.53907724,142.0148010254,2.742629528,0
2012,10,28,1,12,19.729121415,985.1799926758,64.837803865,145.0438537598,2.7458977699,0
2012,10,28,2,12,19.1600022619,984.9956665039,67.4205920374,148.3597412109,2.5834321976,0
2012,10,28,3,13,18.6464044913,984.9065551758,69.7621966344,151.3188934326,2.4429693222,0
2012,10,28,4,12,18.1969112282,985.2146606445,71.4616465794,153.6015625,2.3673932552,0
2012,10,28,5,12,17.8123692793,985.8059082031,72.6916244312,155.8720550537,2.3068223,0
2012,10,28,6,12,17.6519950272,986.2388305664,73.835973501,158.0839538574,2.241430521,0
2012,10,28,7,14,19.7778939476,986.9956665039,71.794263481,160.7686920166,2.1532726288,90
2012,10,28,8,14,22.4722368282,987.5062255859,59.9506895476,161.9876098633,1.7955513,300
2012,10,28,9,16,26.0506004914,987.6417236328,54.7488250783,164.8774414063,1.3687912226,493
2012,10,28,10,15,30.1790649835,987.6496582031,41.4593763046,177.8352050781,1.0666892529,642
2012,10,28,11,14,32.0244977806,987.0318603516,33.7909109458,189.4573669434,0.8184040785,734
2012,10,28,12,13,32.8087238463,986.4376220703,31.7694032243,199.7304077148,0.6685755253,757
2012,10,28,13,13,32.9348456373,985.6766967773,31.0880772262,212.2046203613,0.5729963779,716
2012,10,28,14,13,32.4551448225,985.0541992188,31.6226684591,240.0401763916,0.3835240304,602
2012,10,28,15,13,31.2968442755,984.4275512695,34.1047034645,304.3182983398,0.334593147,445
