Year,Month,Day,Hour,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Direction,Wind Speed,Temp
2011,9,10,14,738,27,31.2048557351,980.0263671875,78.7135520774,99.9402770996,1.1479290724,
2011,9,10,15,645,26,30.743813814,980.3856201172,78.9612389104,75.2948913574,1.172985673,
2011,9,10,16,450,26,30.0763789651,980.5623779297,80.0191950826,63.6170654297,1.4609875679,
2011,9,10,17,233,26,29.510679129,981.2366943359,82.3600028368,68.9734954834,1.5857923031,
2011,9,10,18,15,26,29.0235864486,981.5001220703,84.823640359,81.1589431763,1.602244854,
2011,9,10,19,0,26,28.6266173542,981.8716430664,86.5323632115,96.6096343994,1.6216783524,
2011,9,10,20,0,26,28.234100941,981.8843383789,88.3479846886,111.8480148315,1.7269546986,
2011,9,10,21,0,26,27.8190907801,981.9906005859,90.3372025467,124.5081939697,1.8512519598,
2011,9,10,22,0,26,27.4706992145,981.9920043945,92.2601562428,134.8658447266,1.719250679,
2011,9,10,23,0,26,27.2228351067,981.9840698242,93.7891397026,144.5247650146,1.3487160206,
2011,9,11,0,0,26,26.9573151373,981.5255126953,95.2646616719,155.7862548828,0.9370597601,
2011,9,11,1,0,26,26.7754907302,981.2984008789,96.298831874,170.1913604736,0.5893170834,
2011,9,11,2,0,26,26.5928259854,981.0960693359,97.2126269073,184.1677246094,0.399825573,
2011,9,11,3,0,26,26.5073459108,981.206237793,97.7295008606,186.0002746582,0.3042390943,
2011,9,11,4,0,26,26.4384368811,981.0932006836,97.985103888,172.150680542,0.2899106741,
2011,9,11,5,0,26,26.3892271214,981.2174072266,98.0065186699,155.873840332,0.5158601403,
2011,9,11,6,0,26,26.583821955,981.7953491211,97.3327816669,148.5236053467,0.8475512862,
2011,9,11,7,137,26,27.4268256659,982.3497314453,96.0096724535,148.0469207764,1.0600717068,
2011,9,11,8,352,26,29.0876453241,982.5598144531,87.6121207137,145.887512207,1.3991343975,
2011,9,11,9,560,26,30.3901407364,982.8787841797,80.8497583691,148.3538208008,1.6713252068,
2011,9,11,10,732,26,31.0787397075,982.4469604492,78.3203429103,154.3405761719,1.7127404213,
2011,9,11,11,849,27,31.4361509983,981.9661254883,77.4788802639,162.0875549316,1.549946785,
2011,9,11,12,900,27,31.5950833132,981.1287841797,77.4133735979,173.8129882813,1.3143525124,
2011,9,11,13,880,27,31.3703794918,980.1906738281,77.9515864757,192.5315246582,1.1265650988,
2011,9,11,14,792,26,31.1009847377,979.5418701172,78.7255660977,219.4605255127,0.9297332168,
2011,9,11,15,643,26,30.4940954861,979.1517944336,79.7005987358,247.5849761963,0.9286866784,
2011,9,11,16,340,26,29.975298274,979.2673339844,81.0729009462,258.3727416992,1.0310752392,
2011,9,11,17,193,26,29.5038045856,979.4946899414,83.2945017931,255.1130523682,1.0533809662,
2011,9,11,18,8,26,29.0343578676,979.7593383789,85.2124667982,248.2148284912,1.0672265291,
2011,9,11,19,0,26,28.7195218218,980.1168823242,86.3792257613,241.3159332275,1.0961768627,
2011,9,11,20,0,26,28.4238084441,980.4688110352,87.5859392256,237.9805755615,0.9948408604,
2011,9,11,21,0,26,28.1417951663,980.6395263672,88.7200893465,236.3866271973,0.793348074,
2011,9,11,22,0,26,27.8275077688,980.5684204102,90.0217764508,232.2683105469,0.537065208,
2011,9,11,23,0,26,27.5562675344,980.6297607422,91.2508293419,213.5838928223,0.2213677764,
2011,9,12,0,0,25,27.2136010818,980.1319580078,91.7649808954,80.7457733154,0.1718697995,
