Year,Month,Day,Hour,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Direction,Wind Speed,Temp
2010,10,24,0,0,14,21.9889449394,979.939453125,61.8203676545,99.3716278076,2.6329221725,
2010,10,24,1,0,14,21.4576283444,979.5137939453,65.192650637,106.0659179688,2.5461688042,
2010,10,24,2,0,15,20.9518254435,979.4456787109,68.9367072644,109.8566513062,2.3776745796,
2010,10,24,3,0,15,20.4234201369,979.3984985352,73.0691041749,110.6290283203,2.1819450855,
2010,10,24,4,0,15,19.9366657646,979.8345947266,77.0395468614,108.0619430542,2.0244312286,
2010,10,24,5,0,16,19.4559605547,980.4479370117,80.8590539142,102.9049530029,1.9310278893,
2010,10,24,6,0,16,19.1896969298,980.9411010742,83.0392055293,96.8759384155,1.899461031,
2010,10,24,7,88,16,20.9941921754,981.7947387695,76.1073377583,91.2780227661,1.8451945782,
2010,10,24,8,289,17,23.2205670106,982.2611694336,71.446056024,88.3184890747,1.5152921677,
2010,10,24,9,475,17,26.695323341,982.6000366211,56.243472966,79.8612670898,1.5843279362,
2010,10,24,10,622,15,29.2574084534,982.7177124023,43.5007127145,73.5882873535,1.720526576,
2010,10,24,11,725,14,30.7660709572,982.200378418,37.7547764282,66.6334838867,1.5630362034,
2010,10,24,12,758,13,31.7673211791,981.4807739258,33.4895493681,55.4688339233,1.4246609211,
2010,10,24,13,715,12,32.0973176256,980.9135131836,30.7061646475,43.8301277161,1.3922253847,
2010,10,24,14,601,11,31.7814140196,980.7711791992,29.0284377644,36.3816871643,1.5854556561,
2010,10,24,15,431,10,30.8178530066,980.3914794922,28.238976248,35.714138031,1.8525649309,
2010,10,24,16,218,10,28.9123832591,980.5564575195,31.0618928157,38.9028167725,2.1115992069,
2010,10,24,17,24,10,26.5582391062,980.6791992188,35.5409782696,44.1990509033,2.4401562214,
2010,10,24,18,0,9,25.319756475,980.806640625,36.7117222869,50.8681373596,2.6696481705,
2010,10,24,19,0,8,24.4714913923,981.4340209961,37.1042299286,57.8364486694,2.7085809708,
2010,10,24,20,0,8,23.7163762796,981.6870727539,37.7409964977,66.7202224731,2.6358218193,
2010,10,24,21,0,8,23.0432075462,981.8170166016,38.5435719839,77.8041915894,2.500266552,
2010,10,24,22,0,7,22.4147129074,981.7810058594,39.5453307176,89.2875366211,2.3618531227,
2010,10,24,23,0,7,21.8668863026,981.448425293,40.5834949931,99.9857025146,2.2405765057,
2010,10,25,0,0,7,21.3462869374,981.443359375,41.7823078583,109.8936462402,2.1557745934,
2010,10,25,1,0,7,20.8686720804,981.0673217773,43.0331528084,118.1863937378,2.0801730156,
2010,10,25,2,0,7,20.4337365557,981.4520263672,44.4403710206,124.9341278076,1.9821195602,
2010,10,25,3,0,8,19.9779246133,981.3984985352,45.9881942996,128.1594848633,1.8917607069,
2010,10,25,4,0,8,19.524614989,981.5537109375,47.5441449116,127.2229003906,1.8450719118,
2010,10,25,5,0,8,19.0761139015,981.8991088867,49.0980609227,124.1831054688,1.9055936337,
2010,10,25,6,0,8,18.790333786,982.4974975586,50.6918823362,121.8375778198,2.0591068268,
2010,10,25,7,85,10,20.5856527549,983.0126342773,52.7975273826,121.0816345215,2.233353138,
2010,10,25,8,279,11,22.1938547514,983.376159668,50.3577684111,121.6536483765,2.0267086029,
2010,10,25,9,470,13,24.9195551622,983.7131958008,49.4774591146,120.9059677124,1.6486694813,
2010,10,25,10,624,12,28.472391291,983.5401611328,37.9036597475,112.0298995972,1.6137603521,
2010,10,25,11,719,10,30.742612071,983.4105224609,29.0270043678,106.5374755859,1.5240433216,
2010,10,25,12,752,10,31.9462437513,982.8567504883,25.9206678737,102.4776382446,1.2608346939,
2010,10,25,13,717,9,32.3814062629,982.1457519531,24.0873035918,94.1059646606,0.9916045666,
2010,10,25,14,603,8,32.1036375111,981.6674804688,23.1781385644,69.3517608643,0.8658599257,
2010,10,25,15,416,7,30.9543404837,981.4130859375,23.4210495955,43.4174003601,1.053129673,
2010,10,25,16,213,8,28.9286629633,981.5552978516,27.9813501813,31.4851341248,1.5026936531,
2010,10,25,17,21,8,26.2346780423,982.0042724609,31.5561828727,29.7833061218,2.1411561966,
2010,10,25,18,0,6,25.2043848439,982.7916870117,30.9574013448,33.2965126038,2.6506524086,
2010,10,25,19,0,7,24.2811382218,983.3126831055,33.835586585,38.9314308167,2.9307413101,
2010,10,25,20,0,7,23.4849173269,983.924987793,35.1022962999,50.5353355408,2.9648447037,
2010,10,25,21,0,7,22.7587794274,984.1535644531,36.2897434706,66.3962783813,2.948381424,
2010,10,25,22,0,6,22.1304715338,984.307800293,37.3342179718,81.6856689453,2.9996218681,
2010,10,25,23,0,6,21.4921516304,983.9295654297,38.457976119,94.8039703369,3.0946445465,
2010,10,26,0,0,6,20.9252038681,983.7102050781,39.883778312,105.8341064453,3.1907277107,
2010,10,26,1,0,7,20.3970519016,983.7294921875,41.9295613738,114.6820526123,3.2283866405,
2010,10,26,2,0,7,19.8983108031,983.61328125,44.968596164,122.3432006836,3.164270401,
2010,10,26,3,0,8,19.4524035864,983.6604614258,48.8641109681,128.5076599121,3.0646128654,
2010,10,26,4,0,9,19.0600569635,983.6838989258,53.2076351001,132.9501647949,2.9737751484,
2010,10,26,5,0,10,18.6805557234,983.9400634766,58.0492535862,135.8790130615,2.9169373512,
2010,10,26,6,0,11,18.5249179224,984.5287475586,63.5370944561,137.8248901367,2.8833560944,
2010,10,26,7,87,13,20.4857813474,985.3615112305,63.485093839,139.0330047607,2.7483348846,
2010,10,26,8,281,15,22.6052965912,985.9432373047,64.0895823814,136.0774688721,1.9631972313,
2010,10,26,9,472,17,26.0000789703,986.1775512695,59.4716263242,124.9561767578,1.2089575529,
2010,10,26,10,619,17,30.212352022,985.9630737305,45.6765271224,114.330078125,0.6645486951,
2010,10,26,11,720,16,32.1252491523,985.5275268555,39.1143275352,40.1441993713,0.5198554993,
2010,10,26,12,746,15,32.8502605882,984.3782348633,35.3417896147,13.7032241821,1.0053987503,
2010,10,26,13,701,14,32.9463811355,983.6605834961,32.3383519269,9.5979537964,1.4780271053,
2010,10,26,14,596,12,32.5799845482,983.0765991211,30.1458426792,9.7062683105,1.7128220797,
2010,10,26,15,419,11,31.5153182522,983.0493774414,29.0454835908,12.1203765869,1.8679630756,
2010,10,26,16,215,11,29.528414358,983.2383422852,31.8439360759,16.7355194092,2.1216826439,
2010,10,26,17,22,10,27.09545443,983.67578125,35.2957805242,22.6876602173,2.5886216164,
2010,10,26,18,0,9,25.7546495441,984.3835449219,36.1282228031,30.0938835144,2.9255785942,
2010,10,26,19,0,8,24.8078294868,985.3203735352,36.260477117,38.5537643433,3.0723311901,
2010,10,26,20,0,8,23.9431225082,985.4445800781,36.7121600379,47.8008842468,3.1692762375,
2010,10,26,21,0,7,23.1836821269,985.4643554688,37.4180317738,58.165763855,3.1920909882,
2010,10,26,22,0,7,22.4922854732,985.3268432617,38.124767726,68.1981048584,3.2030642033,
2010,10,26,23,0,7,21.8351294188,984.8323364258,38.9156696149,77.2777404785,3.1868445873,
2010,10,27,0,0,7,21.2263570896,984.6691894531,39.8452280854,85.9937438965,3.1237146854,
2010,10,27,1,0,6,20.6752639819,984.5227661133,40.9930489902,93.937210083,3.0203533173,
2010,10,27,2,0,6,20.1460562653,984.5194091797,42.3301742239,100.7023086548,2.9075231552,
