Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Direction,Wind Speed
2014,10,17,5,30,0,0,0,4,21.7030747422,986.1153564453,32.7162224147,127.3489303589,1.8144693375
2014,10,17,6,30,0,0,0,4,21.6206705726,986.6275634766,33.1792661923,126.4983825684,1.7695229053
2014,10,17,7,30,84,82,99,5,24.2467982503,987.2781982422,29.8247964926,122.2539672852,1.6378521919
2014,10,17,8,30,171,344,304,4,27.5152947902,988.0349121094,23.3833125522,119.9689331055,1.3801217079
2014,10,17,9,30,212,511,499,5,31.7858175627,988.0365600586,18.7376121319,94.1174316406,0.9008649588
2014,10,17,10,30,247,588,655,4,34.5671236161,987.8049926758,15.6287278922,49.933052063,0.9025087953
2014,10,17,11,30,263,632,752,4,35.9564462345,987.2282104492,14.1491778472,39.3773269653,1.0212472677
2014,10,17,12,30,273,631,775,3,36.6908638706,986.2984008789,13.1144080102,36.2557411194,1.1016030312
2014,10,17,13,30,259,626,734,3,36.7552375613,985.2279663086,12.6789163844,33.7648696899,1.1315889359
2014,10,17,14,30,248,561,621,3,36.1209490979,984.6278686523,12.722789862,22.09349823,1.356022954
2014,10,17,15,30,215,445,447,2,34.7396637222,984.4778442383,13.2871723557,13.8677902222,1.7536169291
2014,10,17,16,30,158,248,241,2,32.6721172021,984.2992553711,14.668449346,12.4095230103,2.1494469643
2014,10,17,17,30,41,5,42,2,29.8290252249,984.3215942383,17.7018160137,14.6374053955,2.4586522579
2014,10,17,18,30,0,0,0,3,28.2587199536,984.9844970703,19.9570751232,18.1859664917,2.743891716
2014,10,17,19,30,0,0,0,2,27.4568084311,985.568359375,20.2810319629,22.7197875977,2.93582654
2014,10,17,20,30,0,0,0,2,26.6715776587,985.9942016602,21.2113760969,29.5278549194,2.8312399387
2014,10,17,21,30,0,0,0,2,25.9113170705,985.9032592773,22.2848937504,39.5182723999,2.5502519608
2014,10,17,22,30,0,0,0,2,25.1880571509,985.7043457031,23.4355802868,53.4304580688,2.2316207886
2014,10,17,23,30,0,0,0,2,24.5218490709,985.6032714844,24.4853223217,72.3800964355,1.9747564793
2014,10,18,0,30,0,0,0,2,23.8845400152,985.3522338867,25.4960351412,94.5954818726,1.8327423334
2014,10,18,1,30,0,0,0,2,23.3008276307,985.0866088867,26.3804443388,117.0513458252,1.7819193602
2014,10,18,2,30,0,0,0,2,22.7733988599,984.7018432617,27.1143208136,129.4808807373,1.7352985144
2014,10,18,3,30,0,0,0,2,22.2705941349,984.83984375,27.7993443292,132.2887420654,1.5885064602
2014,10,18,4,30,0,0,0,2,21.8474334568,985.0941162109,27.9552541172,128.101776123,1.3712434769
2014,10,18,5,30,0,0,0,2,21.4649778181,985.6891479492,28.1809837085,112.5575866699,1.1032489538
2014,10,18,6,30,0,0,0,2,21.3924545385,986.3480224609,29.0805864748,83.4977111816,1.0646110773
2014,10,18,7,30,83,78,97,5,24.0251635442,987.2833862305,29.4338746657,64.9669265747,1.395072937
2014,10,18,8,30,170,339,300,2,27.2910266463,987.6696777344,20.5211476853,64.5994262695,1.3777910471
2014,10,18,9,30,214,500,493,2,31.6312971369,987.5734863281,16.1284168116,48.6710662842,1.4005275965
2014,10,18,10,30,257,569,650,2,34.4976605731,987.2875366211,13.2356068222,31.987323761,1.4039814472
2014,10,18,11,30,264,626,746,2,35.9850803516,986.6699829102,12.0684309402,24.4338378906,1.1478945017
2014,10,18,12,30,274,624,768,1,36.9453779813,985.5820922852,11.0314883813,12.7783050537,0.9659401774
2014,10,18,13,30,261,617,727,1,37.1279929245,984.6638183594,10.5764581983,1.0504379272,0.8621351123
2014,10,18,14,30,256,532,607,0,36.5801130887,983.9431152344,10.4209553302,359.2601013184,0.8838158846
2014,10,18,15,30,210,460,447,0,35.1836897488,983.6814575195,11.0558533544,4.5201721191,0.9962428212
2014,10,18,16,30,167,206,235,0,33.0758448695,983.3837890625,12.1375208893,15.7341461182,1.152048111
2014,10,18,17,30,34,0,34,4,29.3778666246,983.6627197266,20.8697987085,32.4869689941,1.4601587057
2014,10,18,18,30,0,0,0,4,28.3341023226,984.0986328125,21.9854306617,49.5664405823,1.8165142536
2014,10,18,19,30,0,0,0,1,27.5685293716,984.4705810547,18.9918126304,63.9647598267,2.1580631733
2014,10,18,20,30,0,0,0,1,26.7239609835,984.802734375,18.8825133455,77.9489059448,2.436858654
2014,10,18,21,30,0,0,0,0,25.9221421359,984.7957763672,19.365938524,91.3307037354,2.6524729729
2014,10,18,22,30,0,0,0,0,25.181880883,984.6273193359,20.1104560836,102.2306365967,2.8329286575
2014,10,18,23,30,0,0,0,0,24.475387953,984.4243774414,20.8814043079,111.8866195679,2.9717488289
2014,10,19,0,30,0,0,0,0,23.7874236307,984.0425415039,21.7376182729,120.4053955078,3.0596284866
2014,10,19,1,30,0,0,0,0,23.1539886607,984.0476074219,22.6081939574,128.2147674561,3.0947716236
2014,10,19,2,30,0,0,0,0,22.5583956109,983.900390625,23.4548287571,133.3853149414,2.9635789394
2014,10,19,3,30,0,0,0,0,22.0097293966,983.9052734375,24.267171646,136.5807189941,2.7796201706
2014,10,19,4,30,0,0,0,0,21.508828752,984.2723388672,25.0925883777,138.9230957031,2.6247537136
2014,10,19,5,30,0,0,0,0,21.0869549974,984.6981811523,25.8234349351,141.0652313232,2.4869446754
2014,10,19,6,30,0,0,0,0,20.9346192982,985.2426147461,26.3292539544,142.4222106934,2.374348402
2014,10,19,7,30,82,67,94,1,23.4144211185,985.7327270508,23.6486663169,141.8544769287,2.2499227524
2014,10,19,8,30,180,306,297,1,26.5575304075,986.3421630859,19.6545695683,141.9988555908,1.8805789948
2014,10,19,9,30,211,507,493,1,30.9349617433,986.0996704102,15.628705747,139.1586914063,1.4905185699
2014,10,19,10,30,248,578,645,0,34.8022900221,985.9575805664,11.79369047,127.6328735352,1.0311188698
2014,10,19,11,30,273,601,734,0,36.643473808,985.4619140625,10.5127795846,122.5411682129,0.679929018
2014,10,19,12,30,277,616,762,0,37.5366620379,984.5065917969,9.9006327876,112.916923523,0.4396359921
2014,10,19,13,30,264,608,720,0,37.6989542718,983.9891357422,9.6092349666,95.5459899902,0.2660541832
2014,10,19,14,30,248,548,608,0,37.0446573968,983.3674926758,9.7368031766,20.4034805298,0.2045664489
2014,10,19,15,30,210,453,442,0,35.6348206852,983.2327270508,10.3098101958,354.3356628418,0.4214378595
2014,10,19,16,30,164,197,229,0,33.4041413085,983.2766723633,11.5917184837,358.4196166992,0.6014483571
2014,10,19,17,30,35,0,35,10,28.5849187606,983.4948730469,31.5709870128,16.0789642334,0.9069328904
2014,10,19,18,30,0,0,0,4,28.7048032906,983.8740234375,21.8943591297,33.5981903076,1.2884576321
2014,10,19,19,30,0,0,0,2,27.9197880424,984.4672241211,19.7663509265,47.7732620239,1.6027140617
2014,10,19,20,30,0,0,0,1,27.0997174656,984.694519043,19.5246068074,65.2750091553,1.988104701
2014,10,19,21,30,0,0,0,0,26.3277170827,984.9970092773,18.150847442,79.8001327515,2.3868937492
2014,10,19,22,30,0,0,0,0,25.5826410078,985.0450439453,18.6681700658,90.6115570068,2.6510818005
2014,10,19,23,30,0,0,0,0,24.8456056921,984.8514404297,19.4863722799,99.8976669312,2.794113636
2014,10,20,0,30,0,0,0,0,24.1760313509,984.8636474609,20.3398278286,109.0350799561,2.8828928471
2014,10,20,1,30,0,0,0,0,23.5144580517,984.4663085938,21.215181759,118.454460144,2.9495294094
2014,10,20,2,30,0,0,0,0,22.8707351415,984.5368652344,21.9912848118,127.3929443359,2.9705588818
2014,10,20,3,30,0,0,0,0,22.2805094224,984.2252807617,22.7162566609,135.6442108154,2.9758019447
2014,10,20,4,30,0,0,0,0,21.7308651268,984.4899902344,23.5167256033,143.4837341309,2.9911544323
2014,10,20,5,30,0,0,0,0,21.2412036305,984.9637451172,24.4459743172,150.9332733154,2.9755592346
2014,10,20,6,30,0,0,0,0,21.0415371651,985.7445678711,25.2506706812,157.249786377,2.9344563484
