date,Wind Speed,Temperature,Pressure,Relative Humidity,Wind Direction,Dew Point,Solar Radiation
2011-06-18 09:00:00,3.6934370995,37.3834222298,971.446166992,38.7311049885,227.275115967,20,565
2011-06-18 10:00:00,3.5329015255,39.606882446,970.901489258,33.2807499357,225.970504761,20,719
2011-06-18 11:00:00,3.3919503689,41.445099911,970.408935547,29.2456612265,224.294906616,19,864
2011-06-18 12:00:00,3.2978830338,42.6255952026,969.357299805,26.8241675285,222.753158569,19,909
2011-06-18 13:00:00,3.279736042,43.0578863619,968.637268066,25.7590550973,221.605117798,19,889
2011-06-18 14:00:00,3.2638542652,42.9680934963,968.096801758,25.2486071803,223.404510498,18,799
2011-06-18 15:00:00,3.2262101173,42.3925099528,967.663085938,25.6210909922,227.082382202,18,655
2011-06-18 16:00:00,3.1759409904,41.0957361411,967.653442383,27.4778333591,229.904602051,18,472
2011-06-18 17:00:00,3.1933920383,39.3211763349,967.684875488,30.4588844643,230.223800659,18,268
2011-06-18 18:00:00,3.3893122673,37.5785309081,968.367004394,33.6730309681,227.934875488,18,84
2011-06-18 19:00:00,3.6879529953,36.5720078319,969.067504883,36.2917815462,226.778503418,19,0
2011-06-18 20:00:00,4.2368736267,35.8752029868,969.733276367,38.4116176155,223.611343384,19,0
2011-06-18 21:00:00,4.7827849388,35.1564012905,970.032165527,40.8915101051,220.512466431,19,0
2011-06-18 22:00:00,5.2782421112,34.3800723061,970.052734375,44.1702174573,219.39604187,20,0
2011-06-18 23:00:00,5.6583323479,33.5417793082,970.062194824,48.5721595854,220.571456909,21,0
2011-06-19 00:00:00,6.0028610229,32.6607265139,970.040039062,54.3111153478,222.571258545,22,0
2011-06-19 01:00:00,6.0457129478,31.6845200742,969.511901856,60.7501802349,224.009658813,23,0
2011-06-19 02:00:00,5.728146553,30.735986592,969.309753418,66.9433256995,225.194107056,23,0
2011-06-19 03:00:00,5.2004294395,29.8875562473,969.523986816,72.0199681343,225.953720093,24,0
2011-06-19 04:00:00,4.5993328094,29.231508164,970.165466309,75.1932816171,226.043136597,24,0
2011-06-19 05:00:00,4.0658755302,28.9412807756,970.37097168,77.0113517758,225.086364746,24,0
2011-06-19 06:00:00,3.8208518028,30.1369954854,971.201904297,71.7526201544,225.460647583,24,37
2011-06-19 07:00:00,3.4851891994,32.3423929575,971.951599121,61.7170142104,227.398864746,24,193
2011-06-19 08:00:00,3.2270796299,34.8810403738,972.115783691,51.9038686861,226.317993164,23,400
2011-06-19 09:00:00,3.0771808624,36.8626718041,971.766540527,44.8000132269,224.03237915,22,564
2011-06-19 10:00:00,2.9731500149,38.1597879209,971.099914551,40.4145750808,222.542282105,22,638
2011-06-19 11:00:00,2.8539979458,38.9338051855,970.731140137,37.7031648565,223.244659424,21,779
2011-06-19 12:00:00,2.8613674641,39.0156125603,969.781311035,36.7603509832,224.878799438,21,921
2011-06-19 13:00:00,3.0458450317,38.4801756236,968.887390137,37.3322414223,227.558441162,21,898
2011-06-19 14:00:00,3.0183598995,37.9594903474,968.168884277,37.8824730865,232.36000061,21,814
2011-06-19 15:00:00,2.8540258408,37.1230126104,967.816955566,39.2341349768,237.055038452,20,675
2011-06-19 16:00:00,2.7859833241,36.2519115666,967.817871094,41.2707485615,240.564819336,21,471
2011-06-19 17:00:00,2.8535981178,35.2191672457,968.065917969,43.9257298732,240.46786499,21,264
2011-06-19 18:00:00,2.9762136936,34.1439222524,968.583496094,47.1550981213,237.601745605,21,81
2011-06-19 19:00:00,3.1157407761,33.2741737769,969.173583984,50.9482229995,235.001281738,21,0
2011-06-19 20:00:00,3.3147411346,32.6320622393,969.423950195,53.5021554071,228.276550293,21,0
2011-06-19 21:00:00,3.5235266685,31.9760405552,969.811462402,56.0395449701,221.685882568,22,0
2011-06-19 22:00:00,3.7518019676,31.3797606124,969.803649902,58.6742598975,218.093154907,22,0
2011-06-19 23:00:00,3.9048955441,30.7922117131,969.827026367,61.4025929823,217.228149414,22,0
2011-06-20 00:00:00,3.998626709,30.2213013797,969.673522949,64.4026683165,217.245727539,22,0
2011-06-20 01:00:00,4.0445318222,29.697085957,969.769348144,67.4867912123,217.250610352,23,0
2011-06-20 02:00:00,3.9751458168,29.1580216407,969.708557129,70.9958872995,219.050201416,23,0
2011-06-20 03:00:00,3.8632736206,28.7135187807,970.036437988,74.5203255787,220.96572876,23,0
2011-06-20 04:00:00,3.6948304176,28.3133102567,970.354675293,78.2298095758,222.239089966,24,0
2011-06-20 05:00:00,3.4864733219,28.1916882059,971.122558594,80.6279541345,223.323577881,24,0
2011-06-20 06:00:00,3.569824934,29.6517443289,971.887939453,74.37786878,226.122970581,24,34
