Year,Month,Day,Hour,Dew Point,Temperature,Pressure,Relative Humidity,Wind Direction,Wind Speed,Solar Radiation (GHI),Temp
2011,10,26,16,16,28.3655975414,983.8363037109,49.6383083714,2.6386947632,1.8291249275,238,
2011,10,26,17,16,26.0835175435,984.2482299805,56.8069892394,5.1271133423,2.1200797558,32,
2011,10,26,18,16,24.9766642316,984.5386352539,58.2092861579,9.8057556152,2.4733684063,0,
2011,10,26,19,15,24.1190393865,984.8092041016,57.6031595767,15.3584671021,2.7492976189,0,
2011,10,26,20,14,23.2560333458,984.8768310547,58.3077328092,23.1797561646,2.8154277802,0,
2011,10,26,21,14,22.3494763048,985.0095214844,59.9926975144,31.6496696472,2.8193631172,0,
2011,10,26,22,13,21.4323210705,984.8681030273,62.2870687092,38.5825614929,2.8268771172,0,
2011,10,26,23,13,20.5402662197,984.8469848633,64.8657732046,44.1640090942,2.843177557,0,
2011,10,27,0,13,19.7019982761,984.8419799805,67.7497725568,49.3173027039,2.8691365719,0,
2011,10,27,1,13,18.9604745736,984.4803466797,70.6466072699,53.2959022522,2.896998167,0,
2011,10,27,2,13,18.3200627907,984.4666748047,73.2356672177,53.3540229797,2.9299948215,0,
2011,10,27,3,13,17.7727153521,984.780456543,75.6268428723,53.4495620728,2.9750366211,0,
2011,10,27,4,13,17.316236337,984.8469848633,77.5101672142,55.7698745728,2.9621310234,0,
2011,10,27,5,13,16.9350435873,985.6010742188,79.1203510486,59.3857460022,2.9400639534,0,
2011,10,27,6,13,16.7943941496,986.176940918,80.2748779482,63.2506484985,2.9330070019,0,
2011,10,27,7,14,18.3113371758,986.857421875,76.5839822419,66.4055328369,2.7643699646,94,
2011,10,27,8,15,20.6559123194,987.2233886719,71.2242573203,68.7928924561,2.2880744934,302,
2011,10,27,9,17,23.9156787742,987.5440673828,66.9683587714,67.4366073608,1.8927693367,498,
2011,10,27,10,16,27.4333080624,987.0662841797,49.8510750475,61.6858673096,2.0519528389,646,
2011,10,27,11,16,29.4692679728,986.3345336914,44.4227114109,53.981880188,1.9158132076,744,
2011,10,27,12,16,30.4443420391,985.4676513672,42.6953587953,44.8755302429,1.8465014696,770,
2011,10,27,13,16,30.7072013426,984.6251831055,42.2123131866,38.453250885,1.8900645971,736,
